,0
25,"Ngân hàng Nhà nước Người dân không ưu tiên mua nhà lúc này. Dư nợ cho vay tiêu dùng - tự sử dụng bất động sản đã giảm 0,7%, theo Ngân hàng Nhà nước, cho thấy khách hàng đang không ưu tiên nhu cầu mua nhà."
26,"Sam giải đáp thắc mắc về người chồng bí ẩn. Dù đã công khai đăng ký kết hôn và bước vào những tháng cuối của thai kỳ nhưng danh tính bạn đời của Sam vẫn là một dấu hỏi lớn, Trước mọi đồn đoán của cư dân mạng, Sam nhanh chóng làm rõ."
27,Runner bỏ cuộc khi đang dẫn đầu đường đua marathon. Trung Quốc Một chân chạy Kenya bỏ cuộc ở mốc 25 km do hạ thân nhiệt khi đang dẫn đầu giải Hàng Châu Marathon 2023 tại Trung Quốc ngày 17/12.
28,"Bệnh da cánh bướm . Bệnh da bướm xảy ra do gene bị lỗi, hiện không thể chữa khỏi, chỉ có thể tập trung vào giảm đau và điều trị biến chứng như nhiễm trùng, ung thư da."
29,"Mẹo sử dụng lò vi sóng tốt cho sức khỏe, bạn đã biết chưa, . Nấu ăn bằng lò vi sóng rất tiện lợi vì nó đơn giản và cực kỳ nhanh chóng, Tuy nhiên, nhiều người lo ngại nó có thể làm hỏng các chất dinh dưỡng tốt cho sức khỏe."
30,Căn penthouse 280 m2 tối giản với khoảng sân ngập nắng. TP HCM Lựa chọn đưa toàn bộ không gian sinh hoạt chung lên tầng 2 giúp gia chủ có thể tận hưởng khoảng sân ngập tràn ánh nắng.
31,"Mỹ nhân Hoa ngữ đổ vỡ hôn nhân, bị khán giả ghét bỏ vì bê bối ngoại tình. Sau bê bối ngoại tình, sự nghiệp và danh tiếng của Chúc Anh Đài Đổng Khiết đều bị ảnh hưởng, Ở tuổi ngoài 40, cô sống lặng lẽ, kín tiếng và hầu như không công khai chuyện tình cảm."
32,"Meta bị phạt vì quảng cáo cờ bạc trên Facebook . Italy Meta bị phạt 6,4 triệu USD vì các quảng cáo cờ bạc xuất hiện trên Facebook và Instagram."
33,"9 không, 1 cần trong phòng ngừa tội phạm công nghệ cao. Khuyến cáo 9 không, 1 cần trong phòng ngừa tội phạm công nghệ cao trên không gian mạng, lãnh đạo Sở Thông tin và Truyền thông Cà Mau lưu ý người dân quan trọng nhất là nâng cao cảnh giác."
34,"Có 5 dấu hiệu này bạn cần cho gan nghỉ ngơi ngay. Ở giai đoạn đầu, bạn có thể đảo ngược các tổn thương gan, Có một số cách bạn có thể làm để giúp gan được nghỉ ngơi và ngăn ngừa tổn thương vĩnh viễn."
35,Chicilon Media là nhà tài trợ kim cương cho hội nghị về bất động sản . Chicilon Media là nhà tài trợ kim cương cho Hội nghị Bất động sản Việt Nam - VRES 2023 diễn ra tại Hà Nội ngày 12/12 và TP HCM ngày 14/12.
36,"3 bí quyết sống khỏe của người phụ nữ 106 tuổi . Anh Cụ bà Katie MacRae khỏe mạnh ở tuổi ngoài 100 do sở thích làm vườn, lối sống bận rộn và thói quen mỉm cười với cả người xa lạ."
37,"Bệnh tình dục Ngã ngửa vì những hiểu lầm nguy hiểm. Bệnh tình dục ngày càng phổ biến, Nhiều người ngã ngửa vì tưởng hành vi vô hại nhưng lại gây hậu quả nặng nề."
38,"Hạnh kiểm khá có xin học bổng Australia được không,  . Em muốn du học Australia nhưng lo hạnh kiểm khá ảnh hưởng đến việc xin học bổng."
39,"5 tư thế yoga tốt cho phụ nữ mãn kinh . Tư thế yoga chiến binh tăng cường tuần hoàn, giảm mệt mỏi; động tác gác chân lên tường hỗ trợ ngủ ngon thời kỳ mãn kinh."
40,"Quốc lộ 13 qua TP HCM được đề xuất đổi tên thành 30 Tháng 4. Đoạn quốc lộ 13 từ cầu Bình Triệu đến cầu Vĩnh Bình, dài khoảng 6 km, được chính quyền TP Thủ Đức đề nghị đổi tên thành đường 30 Tháng 4."
41,"Nữ sinh 10 tuổi dũng cảm cứu 3 trẻ đuối nước. Thấy 3 em nhỏ đang bị đuối nước, Rơ Châm Ư dũng cảm nhảy xuống lần lượt đưa cả 3 lên bờ, Tuy nhiên một nạn nhân là em ruột Ư đã không qua khỏi."
42,Bóng đá Trung Quốc tuyên bố xử nghiêm vụ đánh nhau tại AFC Champions League. Liên đoàn bóng đá Trung Quốc (CFA) tuyên bố sẽ xử lý nghiêm những người vi phạm trong trận đấu giữa Chiết Giang FC (Trung Quốc) và Buriram United (Thái Lan).
43,"Trump Chứng khoán lên đỉnh chỉ khiến người giàu càng giàu thêm. Cựu tổng thống Mỹ hôm 17/12 đưa ra nhiều bình luận về kinh tế Mỹ, từ chứng khoán đến lạm phát."
44,"Khối ngoại trở lại gom cổ phiếu Thế Giới Di Động. Sau khoảng ba tháng đua lệnh bán ròng, nhà đầu tư nước ngoài hôm nay mua ròng hơn 100 tỷ đồng cổ phiếu Thế Giới Di Động."
45,"Cảnh báo xuyên tạc Quyết định phê duyệt sách giáo khoa tiếng Trung Quốc lớp 3, 4. Bộ GD-ĐT cảnh báo hiện nay trên mạng xã hội đang xuất hiện tình trạng xuyên tạc về Quyết định phê duyệt sách giáo khoa tiếng Trung Quốc lớp 3, lớp 4 của Bộ GD-ĐT và khẳng định các cơ quan chức năng điều tra, xử lý những hành vi sai phạm trên theo đúng quy định của pháp luật."
46,"Bitcoin hồi phục sau nhiều hoài nghi. Sau khi lao dốc vào năm 2022, Bitcoin đã có sự trở lại đầy ấn tượng trong năm 2023, bất chấp bối cảnh kinh tế ảm đạm, giá tiền số sụt giảm và khối lượng giao dịch tiền số ở mức thấp."
47,"Bầu Đức muốn phát hành cổ phiếu thu về 1.300 tỷ đồng Lộ diện 3 nhà đầu tư. Bầu Đức muốn thu tiền trả nợ trái phiếu, cơ cấu nợ công ty con thông qua phát hành cổ phiếu, Danh tính 3 nhà đầu tư lộ diện, trong đó có 2 tổ chức liên quan nhiều cái tên lớn."
48,"UBKT Trung ương xác định vi phạm của hàng loạt cán bộ cấp cao. Trưởng ban Kinh tế Trung ương Trần Tuấn Anh, nguyên Phó thủ tướng Trịnh Đình Dũng và hàng loạt cán bộ cấp cao bị xác định trách nhiệm trong các vi phạm liên quan điện gió, cung ứng xăng dầu."
49,Djokovic bị nghi ngờ khả năng giành Golden Slam. Cựu tay vợt số hai thế giới Alex Corretja cho rằng rất khó để Novak Djokovic giành cả bốn Grand Slam và Olympic trong năm 2024.
50,Lựa chọn nhà đầu tư xây dựng sân bay tại Quảng Trị. Tỉnh Quảng Trị đã ra quyết định phê duyệt kết quả lựa chọn nhà đầu tư thực hiện Dự án thành phần 2 - Xây dựng Cảng hàng không Quảng Trị theo phương thức đối tác công tư (PPP).
51,"Djokovic thoát hiểm ngoạn mục, tiến bước ở Paris Masters. Novak Djokovic vất vả giành chiến thắng 4-6, 7-6(2), 6-4 trước Tallon Griekspoor để giành vé tiến vào tứ kết Paris Masters, Tay vợt người Serbia nối dài chuỗi trận thắng liên tiếp lên con số 15."
52,"9 xu hướng thời trang nổi bật trong năm 2023. Những xu hướng này có tính ứng dụng cao, dễ kết hợp nên được nhiều tín đồ thời trang ưa chuộng."
53,Thủ tướng đề nghị ngân hàng Nhật tham gia tái cơ cấu nhà băng yếu kém. Ngân hàng Mizuho - một trong ba ngân hàng lớn nhất Nhật Bản - được Thủ tướng Phạm Minh chính đề nghị tham gia tái cấu trúc ngân hàng yếu kém của Việt Nam.
54,"Du lịch, dịch vụ sẽ là ngành kinh tế mũi nhọn ở TP.Phúc Yên. 20 năm qua, nền kinh tế của TP.Phúc Yên đã có bước phát triển vượt bậc, thu ngân sách cao, góp phần đưa Vĩnh Phúc trở thành một trong những tỉnh tự cân đối được ngân sách, có điều tiết về T.Ư, Sau công nghiệp, các hoạt động dịch vụ, du lịch đang phát triển và sẽ là ngành kinh tế mũi nhọn."
55,"Giá xăng giảm gần 1.000 đồng một lít. Mỗi lít xăng giảm 920-960 đồng, các mặt hàng dầu cũng hạ thêm 550-780 đồng, từ 15h hôm nay."
56,"Tập đoàn lớn của UAE muốn Việt Nam hợp tác về cảng biển, đô thị thông minh. Khẳng định Việt Nam là ưu tiên chiến lược hàng đầu, lãnh đạo Tập đoàn International Holdings Company của UAE muốn tìm hiểu cơ hội hợp tác trong lĩnh vực cảng biển, logistics, đô thị thông minh."
57,"Những mẫu tên lửa vũ trụ mới dự kiến phóng năm 2024. Một số tên lửa mới của châu Âu và Mỹ sẽ phóng năm sau, khi ngành hàng không vũ trụ thiếu phương tiện phóng do số lượng vệ tinh tăng."
58,"CEO Galaxy Studio Rạp phim sẽ trở thành điểm giải trí tích hợp. Bà Mai Hoa - CEO Galaxy Studio - nói rạp Việt không đơn thuần là điểm chiếu phim truyền thống, mà phát triển thành trung tâm văn hóa sôi động."
59,"Hà Nội lý giải việc chung cư của Tân Hoàng Minh bị treo sổ hồng. Cư dân chung cư D.ElDorado 2 của Tân Hoàng Minh, quận Tây Hồ, Hà Nội chưa được cấp sổ hồng vì dự án đang thế chấp tại Ngân hàng Sài Gòn - Hà Nội (SHB)."
60,"Thủ khoa thi đánh giá tư duy Bách khoa Hà Nội đạt 95,85/100 điểm. Điểm trung bình của hơn 2.700 thí sinh dự kỳ thi đánh giá tư duy đợt 1 của Đại học Bách khoa Hà Nội là 52,48/100, cao nhất là 95,85 điểm."
61,"Mã Quốc Minh tung ảnh lễ cưới. Tài tử Hong Kong Mã Quốc Minh tung bộ ảnh cưới lãng mạn bên diễn viên Thang Lạc Văn, tại Thái Lan."
62,Trọng Hiếu được khán giả vây quanh khi diễn ở nước ngoài. Trong lúc các nghệ sĩ khác phát hành MV thì Trọng Hiếu gây chú ý khi ra mắt series thực tế Trọng Hiếu kinh khủng khiếp.
63,"VAR được áp dụng trong ngày HLV Gong Oh Kyun ra mắt V-League. Trận đấu Công an Hà Nội gặp Hải Phòng trên sân Lạch Tray sẽ được áp dụng công nghệ video hỗ trợ trọng tài (VAR), Đây là trận đầu tiên HLV Gong Oh Kyun dẫn dắt CLB Công an Hà Nội tại V-League 2023-24."
64,"Quân đoàn 12 diễn tập chiến thuật bắn đạn thật . Quân đoàn 12 và các lực lượng tham gia diễn tập chiến thuật bắn đạn thật năm 2023 tại Trường bắn quốc gia 1, tỉnh Bắc Giang, sáng 23/12."
65,"Con gái Dương Mịch chịu nhiều áp lực, vướng nghi vấn bị trầm cảm. Theo bố của Lưu Khải Uy, cuộc hôn nhân đổ vỡ giữa nam diễn viên và Dương Mịch khiến con gái của họ phải chịu nhiều tổn thương tâm lý."
66,Lê Dương Bảo Lâm mâu thuẫn với bà xã trong cách dạy con. Trong khi Lê Dương Bảo Lâm không muốn ép con học sớm thì bà xã Quỳnh Quỳnh lại có suy nghĩ ngược lại.
67,"Vì sao dự án khu đô thị sinh thái hơn 50.400 tỷ đồng vẫn nằm trên giấy, . Dự án khu đô thị sinh thái, du lịch, vui chơi giải trí ở Hà Tĩnh qua nhiều năm vẫn chưa triển khai, Đại biểu nói rằng đã nêu câu hỏi về vấn đề này tại nhiều kỳ họp nhưng chưa được giải quyết thấu đáo."
68,"Ăn quá no tạo gánh nặng cho sức khỏe đường tiêu hóa. Ăn quá no không chỉ dừng lại ở việc nạp vào cơ thể lượng calo vượt nhu cầu, gây thừa cân mà còn ảnh hưởng đến cơ thể theo nhiều cách khác nhau, Trong đó, đường tiêu hóa là cơ quan chịu hậu quả đầu tiên và trực tiếp bởi thói quen này."
69,"Vượt qua Medvedev, Alcaraz gặp Djokovic ở bán kết ATP Finals. Carlos Alcaraz đã đánh bại Daniil Medvedev với tỷ số 6-4, 6-4 để vượt lên đứng đầu bảng Đỏ và cùng tay vợt người Nga vào bán kết."
70,"Nhận biết nốt ruồi hay ung thư hắc tố như thế nào, . Khoảng 10 đến 20 % ung thư hắc tố có liên quan tới nốt ruồi, Nó thường phát triển trên một nốt ruồi sẵn có thay bị đụng chạm sờ mó, hoặc bị ánh nắng tác động nhiều lần."
71,"Đại gia Như Loan cùng loạt nhà đầu tư nhận quà từ ngài thị trường. Chứng khoán bất ngờ đảo chiều tăng mạnh phiên chiều 20/10, loạt cổ phiếu trong đó có QCG tăng trần, Giới đầu tư hân hoan nhận quà từ thị trường."
72,"Địa chỉ tin cậy của nhà trường, học sinh. Chương trình Tư vấn mùa thi do Báo Thanh Niên tổ chức đã đồng hành cùng thí sinh suốt 25 năm qua không chỉ là một kênh cung cấp thông tin mới về thi cử, định hướng cho học sinh chọn ngành, nghề, trường để xét tuyển mà còn là cầu nối giúp học sinh liên lạc, trao đổi, giải đáp thắc mắc với các trường đại học, cao đẳng, trung cấp."
73,"Bằng liên thông ĐH chính quy có khác vừa làm vừa học, . Nhiều sinh viên tốt nghiệp CĐ và trung cấp thắc mắc hiện nay liên thông ĐH giữa hình thức chính quy và vừa làm vừa học có gì khác nhau về chương trình học, bằng cấp...,"
74,"Triển khai đề án 1 triệu ha lúa chất lượng cao tại Tây Nam Bộ. Đề án 1 triệu ha lúa chất lượng cao, phát thải thấp gắn với tăng trưởng xanh bắt đầu triển khai tại Hậu Giang, sáng 12/12."
75,"Đại biểu HĐND chất vấn về phòng cháy chữa cháy tại TPHCM. Quận 12 có nhu cầu về nhà ở cao, các đại biểu đã chất vấn Chủ tịch UBND quận về các vấn đề liên quan đến quản lý chung cư và công tác đảm bảo phòng cháy chữa cháy trên địa bàn."
76,"Việt Nam đề xuất 4 nhóm ưu tiên hợp tác Mê Kông - Lan Thương. Ngày 7.12, Hội nghị Bộ trưởng Ngoại giao hợp tác Mê Kông - Lan Thương (MLC) lần thứ 8 đã diễn ra tại Bắc Kinh (Trung Quốc) với sự tham dự của các Bộ trưởng Ngoại giao và đại diện các nước thành viên hợp tác MLC gồm Campuchia, Lào, Myanmar, Thái Lan, Trung Quốc và Việt Nam."
77,Microsoft bị điều tra vì đầu tư 10 tỷ USD vào OpenAI. Cơ quan quản lý Anh và Mỹ lo ngại việc Microsoft đầu tư hàng tỷ USD vào OpenAI sẽ dẫn đến độc quyền trong lĩnh vực trí tuệ nhân tạo.
78,"Tam giác kinh tế Rạch Giá - Hà Tiên - Phú Quốc giúp Kiên Giang bứt phá. Đến năm 2030, Kiên Giang là tỉnh có chất lượng sống cao của ĐBSCL, là trung tâm kinh tế biển quốc gia với tam giác kinh tế đô thị, thương mại và dịch vụ hướng biển là Rạch Giá - Hà Tiên - Phú Quốc."
79,Vụ nổ mìn đá văng ra quốc lộ Kiểm tra vật liệu nổ. UBND thị xã Hoàng Mai đã có văn bản đề nghị UBND tỉnh Nghệ An chỉ đạo các cơ quan chuyên ngành tổ chức kiểm tra sử dụng vật liệu nổ của Công ty cổ phần đá Hoàng Mai.
80,"Hợp tác với đại học hàng đầu thế giới để đào tạo lãnh đạo kinh doanh cho Việt Nam. Đại học Kinh tế TPHCM (UEH) và Đại học Công nghệ Nanyang của Singapore (NTU Singapore) vừa phối hợp triển khai chương trình Thạc sĩ quản trị kinh doanh quốc tế (IMBA), kết hợp chuyên môn chung của cả hai trường để đào tạo học viên."
81,"Nhiều startup blockchain Việt tiềm ẩn rủi ro bảo mật. Cục An toàn thông tin đánh giá nhiều startup blockchain, tài chính phi tập trung tại Việt Nam còn chưa nhận thức đủ về bảo mật."
82,"Trường ĐH Kinh tế -Tài chính TP.HCM nhận chứng nhận kiểm định chất lượng cơ sở giáo dục và trao bằng thạc sĩ 2023. Ngày 17.12.2023 Trường ĐH Kinh tế - Tài chính TP, HCM (UEF) đã tổ chức Lễ nhận chứng nhận kiểm định chất lượng cơ sở giáo dục chu kỳ 2 (2019 - 2023) và trao bằng tốt nghiệp thạc sĩ 2023."
83,"Harman Kardon trình làng loa di động nhỏ gọn Luna. Harman Kardon vừa ra mắt và mở bán dòng sản phẩm Luna, loa di động nhỏ gọn với âm thanh đỉnh cao và vẻ ngoài tinh tế  được tạo nên  từ những vật liệu cao cấp."
84,"Người đàn ông hoại tử cổ chân do vết rắn cắn cách đây 20 năm. Ngày 29/11, thông tin từ Bệnh viện Đa khoa tỉnh Thanh Hóa, các bác sĩ Khoa Chỉnh hình - Bỏng mới phẫu thuật thành công cho bệnh nhân bị hoại tử cổ chân do vết rắn cắn cách đây 20 năm."
85,"Sao nhí 2 lần đoạt Bông sen vàng Mai Cát Vi Muốn trở thành Ngô Thanh Vân. Với Mai Cát Vi, Ngô Thanh Vân là một thần tượng trong nghề diễn, Sao nhí sinh năm 2009 mong muốn được thử sức ở những dạng vai hành động trong tương lai."
86,"Loạt bê bối tài chính chấn động của Samsung, Toshiba, Apple.... Nhiều tập đoàn đình đám toàn cầu cũng từng dính phải những bê bối tài chính nghiêm trọng, từ bê bối trốn thuế của Apple, hối lộ của Samsung cho tới vụ gian lận kế toán của Toshiba ..."
87,"Công ty WPP bị phạt lần thứ 3 trong năm vì quảng cáo phạm pháp. Ngày 28/11, Cục Phát thanh, truyền hình và thông tin điện tử đã ban hành Quyết định xử phạt vi phạm hành chính đối với Công ty TNHH Truyền thông WPP (GroupM)."
88,"Chìm tàu, 5 người mất tích ở biển Khánh Hòa . Tàu đánh bắt cá ngừ đại dương trên đường về bờ, đi qua biển Khánh Hòa bị sóng lớn đánh phá nước, chìm dần, 5 người mất tích, khuya 22/12."
89,"Ra mắt phân khu Hawaii dự án Masteri Waterfront. Lễ ra mắt phân khu Hawaii thuộc dự án Masteri Waterfront (tâm điểm Ocean Park 1, Hà Nội) chủ đề New Dawn, New Life diễn ra 26/11, quy tụ hơn 1.000 khách mời."
90,"Thêm lợi thế kết nối hạ tầng cho Central Park Residences. Nghệ An Đại lộ Nguyễn Sỹ Sách (TP Vinh) kéo dài dự kiến thông tuyến quý I/2024, gia tăng lợi thế kết nối cho dự án Central Park Residences nằm trong đại đô thị Eco Central Park."
91,"HLV Vũ Tiến Thành làm Giám đốc Kỹ thuật HAGL . Gia Lai Ba ngày sau khi nhận lời làm Giám đốc Học viện, HLV Vũ Tiến Thành được bầu Đức, bầu Thụy bổ nhiệm giữ thêm ghế Giám đốc Kỹ thuật CLB LPBank HAGL."
92,"Ngày mới với tin tức sức khỏe Nhiều lợi ích của đậu xanh với bệnh tiểu đường. Đậu xanh mang lại rất nhiều lợi ích cho sức khỏe, Với người mắc bệnh tiểu đường, các dưỡng chất trong đậu xanh có thể giúp kiểm soát đường huyết và cải thiện sức khỏe tổng thể, Hãy bắt đầu ngày mới với tin tức sức khỏe để xem thêm nội dung bài viết này,"
93,Song Kang và Kim Yoo Jung có cảnh nóng trong tập 9 Chàng quỷ của tôi. Phân đoạn giường chiếu của Jeong Gu Won (Song Kang) và Do Do Hee (Kim Yoo Jung) trong tập 9 Chàng quỷ của tôi (My Demon) gây sốt mạng xã hội.
94,"Có phải chỗ ấy càng dài, chị em càng thỏa mãn, . Nhiều người cho rằng chiều dài dương vật ảnh hưởng rất lớn đến sự thỏa mãn của chị em trong chuyện ấy, Điều này có đúng không thưa bác sĩ,"
95,"Nhảy xuống nước để tránh đạn có khả thi, . Khi tiến vào nước, viên đạn phải chịu lực cản lớn hơn so với khi bay trong không khí nên nhanh chóng giảm tốc."
96,"Đề xuất điều chỉnh quy định về xe tập lái, giáo viên dạy lái xe. Bộ GTVT đề xuất xe tập lái hạng B1, B2 và KB có niên hạn không quá 20 năm, tính từ năm sản xuất; giáo viên dạy lái xe phải đáp ứng tiêu chuẩn theo quy định của pháp luật về giáo dục nghề nghiệp."
97,Học bổng tiến sĩ toàn phần tại Nhật Bản năm 2024. Học bổng JDS của Chính phủ Nhật Bản vừa chính thức mở đơn tuyển sinh cho kỳ nhập học năm 2024.
98,"Căn hộ duplex lấy cảm hứng từ bầu trời đầy sao. TP HCM Hệ trần được thiết kế đèn nhấp nháy, nổi bật giữa nội thất mang tone đen chủ đạo, giúp không gian sinh hoạt chung như nằm dưới bầu trời sao."
99,"Sinh viên khi ra trường đa phần đang thiếu kỹ năng mềm. Phát biểu tại hội chợ việc làm kết nối cung cầu về đào tạo nhân lực ngành nông nghiệp và phát triển nông thôn, lãnh đạo doanh nghiệp cho rằng sinh viên khi ra trường đa phần đang thiếu kỹ năng mềm."
100,"Dự báo thời tiết ngày 4/12 Hà Nội mưa nhỏ vài nơi, đêm và sáng trời rét. Theo dự báo, hôm nay Hà Nội có mưa nhỏ vài nơi, sáng sớm sương mù và sương mù nhẹ, Gió Đông Bắc cấp 2-3, Đêm và sáng trời rét."
101,Một nữ sinh chấn thương sọ não sau vụ sập trần trường học . Hà Nội Nữ sinh trường Phổ thông Hermann Gmeiner (Nghệ An) bị chấn thương sọ não sau tai nạn sập trần gỗ trong lớp được chuyển ra Bệnh viện Việt Đức mổ cấp cứu.
102,"Trường học lùi giờ vào lớp vì trời rét . Hà Nội Nhiều trường cho vào muộn 15-20 phút, dừng hoạt động ngoài trời và chuẩn bị nước ấm cho học sinh, khi nhiệt độ sáng sớm thấp nhất từ đầu mùa đông."
103,"Bộ đội Việt Nam giúp dân Abyei hạ ngầm thùng chứa xăng. Đội công binh số 2 huy động nhân lực, máy móc để đào đất, hạ ngầm an toàn 5 téc chứa xăng dầu cho cây xăng ở thị trấn Abyei, châu Phi."
